"","State","Year","Eviction","Crime","Unempl","Ch_Evict","Ch_Crime","Ch_Unempl","lag_Crime","lag_Unempl","lag_Evict","Time"
"1","Alabama",2000,1.79,486.2,4.6,NA,NA,NA,NA,NA,NA,1
"2","Alabama",2001,2.08,438.2,5.1,0.29,-48,0.5,486.2,4.6,1.79,2
"3","Alabama",2002,1.94,445,5.9,-0.14,6.8,0.8,438.2,5.1,2.08,3
"4","Alabama",2003,1.62,429.2,6,-0.32,-15.8,0.1,445,5.9,1.94,4
"5","Alabama",2004,1.38,427,5.7,-0.24,-2.2,-0.3,429.2,6,1.62,5
"6","Alabama",2005,1.84,433,4.5,0.46,6,-1.2,427,5.7,1.38,6
"7","Alabama",2006,2.14,425.2,4,0.3,-7.8,-0.5,433,4.5,1.84,7
"8","Alabama",2007,1.74,448.9,4,-0.4,23.7,0,425.2,4,2.14,8
"9","Alabama",2008,1.99,452.8,5.7,0.25,3.9,1.7,448.9,4,1.74,9
"10","Alabama",2009,1.74,450.1,11,-0.25,-2.7,5.3,452.8,5.7,1.99,10
"11","Alabama",2010,1.73,383.7,10.5,-0.01,-66.4,-0.5,450.1,11,1.74,11
"12","Alabama",2011,1.86,419.8,9.6,0.13,36.1,-0.9,383.7,10.5,1.73,12
"13","Alabama",2012,1.96,450.3,8,0.1,30.5,-1.6,419.8,9.6,1.86,13
"14","Alabama",2013,1.93,431,7.2,-0.03,-19.3,-0.8,450.3,8,1.96,14
"15","Alabama",2014,1.69,427.4,6.8,-0.24,-3.6,-0.4,431,7.2,1.93,15
"16","Arizona",2000,6.84,531.7,4,NA,NA,NA,NA,NA,NA,1
"17","Arizona",2001,7.65,540.3,4.8,0.81,8.6,0.8,531.7,4,6.84,2
"18","Arizona",2002,7.88,554.5,6.1,0.23,14.2,1.3,540.3,4.8,7.65,3
"19","Arizona",2003,7.74,513.3,5.7,-0.14,-41.2,-0.4,554.5,6.1,7.88,4
"20","Arizona",2004,7.97,504.4,5,0.23,-8.9,-0.7,513.3,5.7,7.74,5
"21","Arizona",2005,7.93,512,4.7,-0.04,7.6,-0.3,504.4,5,7.97,6
"22","Arizona",2006,5.05,542.6,4.2,-2.88,30.6,-0.5,512,4.7,7.93,7
"23","Arizona",2007,5.43,518,3.9,0.38,-24.6,-0.3,542.6,4.2,5.05,8
"24","Arizona",2008,5.59,485.6,6.2,0.16,-32.4,2.3,518,3.9,5.43,9
"25","Arizona",2009,4.49,426.5,9.9,-1.1,-59.1,3.7,485.6,6.2,5.59,10
"26","Arizona",2010,4.35,413.6,10.4,-0.14,-12.9,0.5,426.5,9.9,4.49,11
"27","Arizona",2011,3.93,414.2,9.5,-0.42,0.6,-0.9,413.6,10.4,4.35,12
"28","Arizona",2012,4.47,428.6,8.3,0.54,14.4,-1.2,414.2,9.5,3.93,13
"29","Arizona",2013,4.34,415.6,7.7,-0.13,-13,-0.6,428.6,8.3,4.47,14
"30","Arizona",2014,3.13,399.9,6.8,-1.21,-15.7,-0.9,415.6,7.7,4.34,15
"31","California",2000,2.49,621.6,4.9,NA,NA,NA,NA,NA,NA,1
"32","California",2001,2.26,615.2,5.4,-0.23,-6.4,0.5,621.6,4.9,2.49,2
"33","California",2002,2.03,595.4,6.7,-0.23,-19.8,1.3,615.2,5.4,2.26,3
"34","California",2003,1.88,579.6,6.8,-0.15,-15.8,0.1,595.4,6.7,2.03,4
"35","California",2004,1.79,527.8,6.2,-0.09,-51.8,-0.6,579.6,6.8,1.88,5
"36","California",2005,1.66,526,5.4,-0.13,-1.8,-0.8,527.8,6.2,1.79,6
"37","California",2006,1.66,533.5,4.9,0,7.5,-0.5,526,5.4,1.66,7
"38","California",2007,1.76,524.1,5.4,0.1,-9.4,0.5,533.5,4.9,1.66,8
"39","California",2008,2.12,504.2,7.3,0.36,-19.9,1.9,524.1,5.4,1.76,9
"40","California",2009,2.01,473.3,11.2,-0.11,-30.9,3.9,504.2,7.3,2.12,10
"41","California",2010,1.93,439.6,12.2,-0.08,-33.7,1,473.3,11.2,2.01,11
"42","California",2011,1.58,411.2,11.7,-0.35,-28.4,-0.5,439.6,12.2,1.93,12
"43","California",2012,1.4,423.5,10.4,-0.18,12.3,-1.3,411.2,11.7,1.58,13
"44","California",2013,1.29,402.6,8.9,-0.11,-20.9,-1.5,423.5,10.4,1.4,14
"45","California",2014,1.13,396.1,7.5,-0.16,-6.5,-1.4,402.6,8.9,1.29,15
"46","Colorado",2000,3.65,334,2.8,NA,NA,NA,NA,NA,NA,1
"47","Colorado",2001,3.28,349.6,3.8,-0.37,15.6,1,334,2.8,3.65,2
"48","Colorado",2002,3.26,352.9,5.5,-0.02,3.3,1.7,349.6,3.8,3.28,3
"49","Colorado",2003,4.48,346.5,6,1.22,-6.4,0.5,352.9,5.5,3.26,4
"50","Colorado",2004,5,372,5.5,0.52,25.5,-0.5,346.5,6,4.48,5
"51","Colorado",2005,5.06,397,5,0.06,25,-0.5,372,5.5,5,6
"52","Colorado",2006,5.71,395.4,4.3,0.65,-1.6,-0.7,397,5,5.06,7
"53","Colorado",2007,5.06,351.8,3.7,-0.65,-43.6,-0.6,395.4,4.3,5.71,8
"54","Colorado",2008,4.25,353.9,4.8,-0.81,2.1,1.1,351.8,3.7,5.06,9
"55","Colorado",2009,3.09,338.8,7.3,-1.16,-15.1,2.5,353.9,4.8,4.25,10
"56","Colorado",2010,3.82,323.7,8.7,0.73,-15.1,1.4,338.8,7.3,3.09,11
"57","Colorado",2011,3.64,314.4,8.4,-0.18,-9.3,-0.3,323.7,8.7,3.82,12
"58","Colorado",2012,3.32,307.4,7.9,-0.32,-7,-0.5,314.4,8.4,3.64,13
"59","Colorado",2013,2.26,305.4,6.9,-1.06,-2,-1,307.4,7.9,3.32,14
"60","Colorado",2014,2.2,309.1,5,-0.06,3.7,-1.9,305.4,6.9,2.26,15
"61","Connecticut",2000,NA,324.7,2.4,NA,NA,NA,NA,NA,NA,1
"62","Connecticut",2001,2.34,334.6,3.1,NA,9.9,0.7,324.7,2.4,NA,2
"63","Connecticut",2002,2.94,312.5,4.3,0.6,-22.1,1.2,334.6,3.1,2.34,3
"64","Connecticut",2003,3.86,316.8,5.4,0.92,4.3,1.1,312.5,4.3,2.94,4
"65","Connecticut",2004,3.55,289,5,-0.31,-27.8,-0.4,316.8,5.4,3.86,5
"66","Connecticut",2005,3.06,273,4.9,-0.49,-16,-0.1,289,5,3.55,6
"67","Connecticut",2006,3.44,299.7,4.3,0.38,26.7,-0.6,273,4.9,3.06,7
"68","Connecticut",2007,3.43,301.1,4.5,-0.01,1.4,0.2,299.7,4.3,3.44,8
"69","Connecticut",2008,3.39,306.7,5.7,-0.04,5.6,1.2,301.1,4.5,3.43,9
